"Variable","M1_Est","M1_SE_robust","M1_z","M1_p","M1_OR","M1_CI95_lo","M1_CI95_hi","M1_CI99_lo","M1_CI99_hi","M1_OR_CI95_lo","M1_OR_CI95_hi","M3_Est","M3_SE","M3_z","M3_p","M3_OR"
"A_social",-0.1552,0.0637,-2.438,0.0148,0.8562,-0.28,-0.0304,-0.3192,0.0088,0.7558,0.97,-0.2748,0.0591,-4.648,3.34e-06,0.7597
"A_hypothetical",-0.1081,0.0667,-1.621,0.105,0.8975,-0.2388,0.0226,-0.2799,0.0637,0.7875,1.0229,-0.0773,0.0641,-1.207,0.228,0.9256
